category,dataset,name,source,input_bytes,lzw_units,lzss_units,structure_score,text_repeat_frequency,byte_entropy,window_entropy,lzw_ratio,lzss_ratio,detail
text,wikitext,sample_0003,<memory>,727,448,468,0.4727,0.0,4.6865,7.5017,0.77,0.865,"HF text, 2 lines, 727 bytes"
text,wikitext,sample_0004,<memory>,524,343,364,0.4946,2.0,4.4091,7.3533,0.818,0.896,"HF text, 2 lines, 524 bytes"
text,wikitext,sample_0005,<memory>,574,360,359,0.5011,0.0,4.3725,7.219,0.784,0.836,"HF text, 2 lines, 574 bytes"
text,wikitext,sample_0009,<memory>,1221,645,618,0.5036,2.0,4.2845,7.3169,0.66,0.74,"HF text, 2 lines, 1221 bytes"
text,wikitext,sample_0010,<memory>,1623,810,746,0.4973,2.0,4.3362,7.4139,0.624,0.691,"HF text, 2 lines, 1623 bytes"
text,wikitext,sample_0011,<memory>,496,315,306,0.5107,0.0,4.2887,7.0815,0.794,0.835,"HF text, 2 lines, 496 bytes"
text,wikitext,sample_0015,<memory>,1059,604,621,0.4895,0.0,4.4155,7.504,0.713,0.836,"HF text, 2 lines, 1059 bytes"
text,wikitext,sample_0016,<memory>,1229,646,624,0.5076,2.5,4.2467,7.2623,0.657,0.761,"HF text, 2 lines, 1229 bytes"
text,wikitext,sample_0017,<memory>,1097,597,579,0.5,2.0,4.3426,7.3149,0.68,0.772,"HF text, 2 lines, 1097 bytes"
text,wikitext,sample_0021,<memory>,1512,764,711,0.4888,3.5,4.4325,7.4931,0.632,0.69,"HF text, 2 lines, 1512 bytes"
text,wikitext,sample_0022,<memory>,1433,738,672,0.4953,2.0,4.3581,7.4354,0.644,0.708,"HF text, 2 lines, 1433 bytes"
text,wikitext,sample_0026,<memory>,1678,853,811,0.4915,2.0,4.407,7.4586,0.699,0.72,"HF text, 2 lines, 1678 bytes"
text,wikitext,sample_0030,<memory>,1422,767,718,0.4822,2.0,4.4731,7.6225,0.674,0.741,"HF text, 2 lines, 1422 bytes"
text,wikitext,sample_0031,<memory>,497,320,314,0.4958,2.0,4.4642,7.2063,0.805,0.816,"HF text, 2 lines, 497 bytes"
text,wikitext,sample_0035,<memory>,316,231,228,0.4925,2.0,4.5605,7.1186,0.822,0.907,"HF text, 2 lines, 316 bytes"
text,wikitext,sample_0036,<memory>,736,433,433,0.5003,0.0,4.3607,7.2702,0.735,0.818,"HF text, 2 lines, 736 bytes"
