category,dataset,name,source,input_bytes,lzw_units,lzss_units,structure_score,byte_entropy,window_entropy,lzw_ratio,lzss_ratio,detail
image,synthetic,grid,assets/images/synthetic/grid.pgm,75,25,17,0.8262,1.8087,1.9449,0.375,0.322,"file bytes, 75 bytes"
image,synthetic_structured,checkerboard,assets/images/synthetic_structured/checkerboard.pgm,1037,96,73,0.889,1.1153,1.3207,0.104,0.149,"file bytes, 1037 bytes"
image,synthetic_structured,periodic_gradient,assets/images/synthetic_structured/periodic_gradient.pgm,1037,135,78,0.7562,2.3497,3.1022,0.146,0.153,"file bytes, 1037 bytes"
image,synthetic_structured,stripes_blocks,assets/images/synthetic_structured/stripes_blocks.pgm,1037,147,78,0.8142,1.7301,2.484,0.159,0.156,"file bytes, 1037 bytes"
image,synthetic_unstructured,noise_a,assets/images/synthetic_unstructured/noise_a.pgm,1037,1022,1037,0.1998,7.8104,9.9871,1.355,1.125,"file bytes, 1037 bytes"
image,synthetic_unstructured,noise_b,assets/images/synthetic_unstructured/noise_b.pgm,1037,1028,1037,0.1993,7.8129,9.9975,1.239,1.125,"file bytes, 1037 bytes"
image,synthetic_unstructured,noise_c,assets/images/synthetic_unstructured/noise_c.pgm,1037,1029,1037,0.2016,7.7741,10.0014,1.364,1.125,"file bytes, 1037 bytes"
audio,synthetic,tone,assets/audio/synthetic/tone.wav,2000,978,489,0.3198,6.8218,8.1216,0.672,0.331,"8000 Hz, 1 ch, 1000 frames, dtype=int16"
audio,synthetic_structured,periodic_wave,assets/audio/synthetic_structured/periodic_wave.wav,16000,6316,4074,0.2214,7.4071,10.1018,0.641,0.447,"8000 Hz, 1 ch, 8000 frames, dtype=int16"
audio,synthetic_structured,repeated_tone,assets/audio/synthetic_structured/repeated_tone.wav,16000,3273,1263,0.3187,6.8428,8.115,0.307,0.157,"8000 Hz, 1 ch, 8000 frames, dtype=int16"
audio,synthetic_structured,tone_with_silence,assets/audio/synthetic_structured/tone_with_silence.wav,16000,3123,2399,0.5336,4.6858,5.5543,0.293,0.231,"8000 Hz, 1 ch, 8000 frames, dtype=int16"
audio,synthetic_unstructured,white_noise_a,assets/audio/synthetic_unstructured/white_noise_a.wav,16000,14499,15994,0.0716,7.9895,13.7306,1.586,1.125,"8000 Hz, 1 ch, 8000 frames, dtype=int16"
audio,synthetic_unstructured,white_noise_b,assets/audio/synthetic_unstructured/white_noise_b.wav,16000,14543,16000,0.0713,7.9887,13.7407,1.591,1.125,"8000 Hz, 1 ch, 8000 frames, dtype=int16"
audio,synthetic_unstructured,white_noise_c,assets/audio/synthetic_unstructured/white_noise_c.wav,16000,14516,15992,0.0715,7.9889,13.7353,1.588,1.125,"8000 Hz, 1 ch, 8000 frames, dtype=int16"
